0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
37200,39600,39400,39700,39600,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45800
37300,39600,39400,39700,39700,40300,40900,45900
37300,39600,39400,39700,39700,40300,40900,45900
37300,39600,39400,39700,39700,40300,40900,45900
37300,39600,39400,39700,39700,40300,40900,45900
37300,39600,39400,39700,39700,40300,41000,45900
37300,39700,39400,39700,39700,40300,41000,45900
37300,39700,39400,39700,39700,40300,41000,45900
37300,39700,39400,39700,39700,40400,41000,45900
37300,39700,39400,39700,39700,40400,41000,46000
37300,39700,39400,39700,39700,40400,41000,46000
37300,39700,39400,39700,39700,40400,41000,46000
37400,39700,39400,39700,39700,40400,41000,46000
37400,39700,39400,39700,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39400,39800,39700,40400,41000,46000
37400,39700,39500,39800,39700,40400,41100,46000
37400,39700,39500,39800,39700,40400,41100,46000
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46100
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37400,39700,39500,39800,39700,40400,41100,46200
37500,39800,39500,39800,39700,40500,41100,46200
37500,39800,39500,39800,39700,40500,41100,46200
37500,39800,39500,39800,39800,40500,41100,46200
37500,39800,39500,39800,39800,40500,41100,46200
37500,39800,39500,39800,39800,40500,41200,46200
37500,39800,39500,39800,39800,40500,41200,46200
37500,39800,39500,39800,39800,40500,41200,46200
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46300
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37500,39800,39500,39800,39800,40500,41200,46400
37600,39800,39500,39800,39800,40500,41200,46400
37600,39800,39500,39800,39800,40500,41200,46500
37600,39800,39500,39800,39800,40500,41200,46500
37600,39800,39500,39800,39800,40500,41200,46500
37600,39800,39500,39800,39800,40500,41300,46500
37600,39800,39500,39800,39800,40500,41300,46500
37600,39800,39500,39800,39800,40500,41300,46500
37600,39800,39500,39800,39800,40500,41300,46500
37600,39800,39500,39800,39800,40500,41300,46600
37600,39800,39500,39800,39800,40500,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39500,39900,39800,40600,41300,46600
37600,39800,39600,39900,39800,40600,41300,46600
37600,39800,39600,39900,39800,40600,41300,46700
37600,39900,39600,39900,39800,40600,41400,46700
37600,39900,39600,39900,39800,40600,41400,46700
37600,39900,39600,39900,39800,40600,41400,46700
37600,39900,39600,39900,39800,40600,41400,46700
37700,39900,39600,39900,39800,40600,41400,46700
37700,39900,39600,39900,39800,40600,41400,46700
37700,39900,39600,39900,39800,40600,41400,46700
37700,39900,39600,39900,39800,40600,41400,46700
37700,39900,39600,39900,39800,40600,41400,46800
37700,39900,39600,39900,39800,40600,41400,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46800
37700,39900,39600,39900,39800,40600,41500,46900
37700,39900,39600,39900,39800,40600,41500,46900
37700,39900,39600,39900,39800,40600,41500,46900
37700,39900,39600,39900,39800,40600,41500,46900
37700,39900,39600,39900,39800,40700,41500,46900
37700,39900,39600,39900,39800,40700,41500,47000
37700,39900,39600,39900,39800,40700,41500,47000
37700,39900,39600,39900,39800,40700,41500,47000
37700,39900,39600,39900,39800,40700,41500,47000
37700,39900,39600,39900,39800,40700,41500,47000
37800,39900,39600,39900,39800,40700,41500,47000
37800,39900,39600,39900,39800,40700,41500,47000
37800,39900,39600,39900,39800,40700,41600,47000
37800,39900,39600,39900,39800,40700,41600,47000
37800,39900,39600,39900,39800,40700,41600,47000
37800,39900,39600,39900,39800,40700,41600,47000
37800,39900,39600,39900,39800,40700,41600,47000
37800,39900,39600,39900,39800,40700,41600,47100
37800,39900,39600,39900,39800,40700,41600,47100
37800,39900,39600,39900,39800,40700,41600,47100
37800,39900,39600,39900,39800,40700,41600,47100
37800,39900,39600,39900,39800,40700,41600,47100
37800,39900,39600,39900,39800,40700,41600,47100
37800,40000,39600,39900,39900,40700,41600,47100
37800,40000,39600,39900,39900,40700,41600,47100
37800,40000,39600,39900,39900,40700,41600,47100
37800,40000,39600,39900,39900,40700,41600,47100
37800,40000,39600,39900,39900,40700,41600,47200
37900,40000,39600,39900,39900,40700,41700,47200
37900,40000,39600,39900,39900,40700,41700,47200
37900,40000,39600,39900,39900,40700,41700,47200
37900,40000,39600,40000,39900,40700,41700,47200
37900,40000,39600,40000,39900,40700,41700,47200
37900,40000,39600,40000,39900,40700,41700,47200
37900,40000,39600,40000,39900,40700,41700,47200
37900,40000,39600,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40700,41700,47200
37900,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47300
38000,40000,39700,40000,39900,40800,41700,47400
38000,40000,39700,40000,39900,40800,41700,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47400
38000,40000,39700,40000,39900,40800,41800,47500
38000,40000,39700,40000,39900,40800,41800,47500
38000,40100,39700,40000,39900,40800,41800,47500
38000,40100,39700,40000,39900,40800,41800,47500
38000,40100,39700,40000,39900,40800,41800,47500
38000,40100,39700,40000,39900,40800,41800,47500
38100,40100,39700,40000,39900,40800,41800,47500
